text,entities
فقد حرصت روسيا على تعطيل مشاريع قرارات مختلفة في مجلس الأمن ضد الأسد وتدخلت عسكرياً لقلب الكفة لصالحه ، $#$,"{""story_entities"": [{""entity_value"": ""روسيا"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""مجلس"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""الأمن"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""ضد"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""الأسد"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""الأسد"", ""entity_type"": ""B-PERS""}]}"
مراسلة سكرتير اللجنة القومية العربية في نابلس لتأمين مأكل لشخص واحد ( 1948 ) .,"{""story_entities"": [{""entity_value"": ""سكرتير"", ""entity_type"": ""B-OCC""}, {""entity_value"": ""اللجنة"", ""entity_type"": ""I-OCC""}, {""entity_value"": ""اللجنة"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""القومية"", ""entity_type"": ""I-OCC""}, {""entity_value"": ""القومية"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""العربية"", ""entity_type"": ""I-OCC""}, {""entity_value"": ""العربية"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""في"", ""entity_type"": ""I-OCC""}, {""entity_value"": ""نابلس"", ""entity_type"": ""I-OCC""}, {""entity_value"": ""نابلس"", ""entity_type"": ""B-GPE""}, {""entity_value"": ""واحد"", ""entity_type"": ""B-CARDINAL""}, {""entity_value"": ""1948"", ""entity_type"": ""B-DATE""}]}"
2 - يعاقب كل من ارتكب أي من الأفعال المنصوص عليها في الفقرة ( 1 ) أعلاه بعد إدانته بإحدى العقوبتين التاليتين أو كلتيهما معاً : $#$,"{""story_entities"": [{""entity_value"": ""2"", ""entity_type"": ""B-ORDINAL""}, {""entity_value"": ""الفقرة"", ""entity_type"": ""B-LAW""}, {""entity_value"": ""("", ""entity_type"": ""I-LAW""}, {""entity_value"": ""1"", ""entity_type"": ""I-LAW""}, {""entity_value"": ""1"", ""entity_type"": ""B-ORDINAL""}, {""entity_value"": "")"", ""entity_type"": ""I-LAW""}]}"
18 - اتخاذ كافة الإجراءات اللازمة لأجراء الاستفتاءات وإنجازها وفقاً للمراسيم الصادرة بشأنها $#$,"{""story_entities"": [{""entity_value"": ""18"", ""entity_type"": ""B-ORDINAL""}]}"
رسالة من وزير الداخلية الأردني إلى وزير الصحة الأردني : بشان واجبات البلديات الصحية : بتاريخ ( 15 / 1 / 1959 ) .,"{""story_entities"": [{""entity_value"": ""وزير"", ""entity_type"": ""B-OCC""}, {""entity_value"": ""الداخلية"", ""entity_type"": ""I-OCC""}, {""entity_value"": ""الأردني"", ""entity_type"": ""I-OCC""}, {""entity_value"": ""وزير"", ""entity_type"": ""B-OCC""}, {""entity_value"": ""الصحة"", ""entity_type"": ""I-OCC""}, {""entity_value"": ""الأردني"", ""entity_type"": ""I-OCC""}, {""entity_value"": ""بتاريخ"", ""entity_type"": ""B-DATE""}, {""entity_value"": ""("", ""entity_type"": ""I-DATE""}, {""entity_value"": ""15"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""1"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""1959"", ""entity_type"": ""I-DATE""}, {""entity_value"": "")"", ""entity_type"": ""I-DATE""}]}"
"وبين يناير ومارس ، ارتفع عدد مصابي الكوليرا الذين عالجتهم فرق أطباء بلا حدود من 140 شخصاً إلى 2 , 0 شخص أسبوعياً . $#$","{""story_entities"": [{""entity_value"": ""وبين"", ""entity_type"": ""B-DATE""}, {""entity_value"": ""يناير"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""ومارس"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""مصابي"", ""entity_type"": ""B-NORP""}, {""entity_value"": ""الكوليرا"", ""entity_type"": ""I-NORP""}, {""entity_value"": ""أطباء"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""بلا"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""حدود"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""140"", ""entity_type"": ""B-CARDINAL""}, {""entity_value"": ""2"", ""entity_type"": ""B-CARDINAL""}, {""entity_value"": "","", ""entity_type"": ""I-CARDINAL""}, {""entity_value"": ""0"", ""entity_type"": ""I-CARDINAL""}]}"
وثائق اراضي من قرية اليامون قضاء مدينة جنين من فترة الانتداب البريطاني على فلسطين عام ( 1933 ) .,"{""story_entities"": [{""entity_value"": ""قرية"", ""entity_type"": ""B-GPE""}, {""entity_value"": ""اليامون"", ""entity_type"": ""I-GPE""}, {""entity_value"": ""قضاء"", ""entity_type"": ""B-GPE""}, {""entity_value"": ""مدينة"", ""entity_type"": ""I-GPE""}, {""entity_value"": ""جنين"", ""entity_type"": ""I-GPE""}, {""entity_value"": ""الانتداب"", ""entity_type"": ""B-EVENT""}, {""entity_value"": ""البريطاني"", ""entity_type"": ""I-EVENT""}, {""entity_value"": ""على"", ""entity_type"": ""I-EVENT""}, {""entity_value"": ""فلسطين"", ""entity_type"": ""I-EVENT""}, {""entity_value"": ""فلسطين"", ""entity_type"": ""B-GPE""}, {""entity_value"": ""عام"", ""entity_type"": ""B-DATE""}, {""entity_value"": ""("", ""entity_type"": ""I-DATE""}, {""entity_value"": ""1933"", ""entity_type"": ""I-DATE""}, {""entity_value"": "")"", ""entity_type"": ""I-DATE""}]}"
مذكرات خليل السكاكيني : بتاريخ 9 / 10 / 10 / ( 1940 ) .,"{""story_entities"": [{""entity_value"": ""خليل"", ""entity_type"": ""B-PERS""}, {""entity_value"": ""السكاكيني"", ""entity_type"": ""I-PERS""}, {""entity_value"": ""بتاريخ"", ""entity_type"": ""B-DATE""}, {""entity_value"": ""9"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""10"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""10"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""("", ""entity_type"": ""I-DATE""}, {""entity_value"": ""1940"", ""entity_type"": ""I-DATE""}, {""entity_value"": "")"", ""entity_type"": ""I-DATE""}]}"
وبالإضافة إلى ذلك ، تقوم مجموعة متنوعة من المنظمات الحكومية الدولية ، الدولية والإقليمية ، وكذلك المؤسسات المالية الدولية ، أيضا بدعم الإجراءات المتعلقة بالألغام من خلال التمويل أو تقديم الخدمات للأفراد والمجتمعات المحلية المتضررة من الألغام الأرضية والمتفجرات الناتجة عن مخلفات الحرب . وغالبا تلعب عمليات حفظ السلام التابعة للأمم المتحدة دورا رئيسيا في هذه العملية . $#$,"{""story_entities"": [{""entity_value"": ""للأمم"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""المتحدة"", ""entity_type"": ""I-ORG""}]}"
مذكرات خليل السكاكيني : بتاريخ 4 / 5 / 3 / ( 1946 ) .,"{""story_entities"": [{""entity_value"": ""خليل"", ""entity_type"": ""B-PERS""}, {""entity_value"": ""السكاكيني"", ""entity_type"": ""I-PERS""}, {""entity_value"": ""بتاريخ"", ""entity_type"": ""B-DATE""}, {""entity_value"": ""4"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""5"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""3"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""("", ""entity_type"": ""I-DATE""}, {""entity_value"": ""1946"", ""entity_type"": ""I-DATE""}, {""entity_value"": "")"", ""entity_type"": ""I-DATE""}]}"
